company_name,jd,job_tag,job_title,salary,skill_cata_tag,url
Oursky Limited, 是一家創立於香港的軟體公司，除了在香港、台北和倫敦設有固定辦公室，我們多元化的團隊成員在不同國家和地點遠端工作。我們以開發者和技術為中心、推崇職人精神，並致力推動社會進步。我們以開發開源軟體解決方案為己任，協助企業進行數位轉型，以及幫助開發者打造安全及重視隱私的軟體。我們的產品均是自籌經費研發，確保 Oursky 的工程師文化及素質能體現在每個項目上。|||Oursky 有濃厚的工程師文化，例如我們常常會嘗試最新的程式語言（雖然我們大部分的程式碼都是 Python 或 Go，但也會用 Haskell、Rust 或探索實驗其他新語言）、保持高水準的 Code Review，並採用精簡流程的內部工具如 DevOps 及 CI 相關的軟體。|||了解更多：|||-|||我們正在招募軟體工程師加入團隊！你將會獲得資深工程師的指導，同時和一群頂尖的工程師一起工作！|||我們的團隊主要使用以下的技術（你不需要掌握全部技術，但我們期望你能快速學習大部分技術）：,軟體工程師,Web / Mobile App Developer 軟體工程師,75.5k - 100.5k TWD Monthly,,https://meet.jobs/zh-TW/jobs/28377-web-mobile-app-developer-%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%AB
遊戲PHP開發工程師,,軟體工程師,GM,80k - 180k TWD Monthly,PHP|||MySQL,https://meet.jobs/zh-TW/jobs/36922-gm-%E9%81%8A%E6%88%B2php%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
浪LIVE,【ABOUT 產品技術研發中心】|||我們的產品包括|||「浪LIVE直播」音樂才女、素人唱將、實力女團，最具影響力的直播平台|||「POPO筆記」分享你的美好生活・穿搭、美妝、美食、旅遊社群平台|||「PLAYONE」線上遊戲陪玩，攜手征服虛擬的戰場|||堅持打造綠色直播/社群平台，成為內容創作者的優質孵化器。|||專屬技術研發中心團隊，精心打造最多元的APP產品線， 2018年下載量突破200萬， 2020年下載量破500萬!|||【ABOUT 你的任務目標】|||＞ 設計模組架構，完成功能需求|||＞ 優化性能、重構既有程式架構|||＞ 與PM及UI設計討論功能開發方式|||＞ 技術文件撰寫與管理|||【ABOUT 我們的條件要求】|||＞具備5年以上的 iOS 原生手機 app 開發經驗|||＞熟悉Objective-C、Swift語言，其一皆可|||＞熟悉UIKit等iOS系統framework|||＞熟悉git版本控管工具|||＞ 暸解iOS上 Multi-thread、GCD ，有大型專案維護、重構經驗，為加分經驗|||＞ 參與過社群、遊戲、影音等產品類型，為加分經驗|||【ABOUT 職業規劃＆薪酬】|||＞我們會依據你過往的產品經驗、技術經驗來做短中期工作角色規劃|||＞接觸到的APP產品具備良好的市場發展性|||＞參與到的產品類型絕對豐富不單一|||＞探索到的技術知識保持在趨勢的前端|||＞ Sr.iOS Engineer iOS工程師，將視專案豐富度，年度薪酬約在120~150萬|||＞如個人技術經驗、產品經驗，與公司策略發展有高度相關，薪資另有可談空間|||【ABOUT 辦公環境】|||＞ 辦公室座落信義區，離市政府捷運站步行5分鐘|||＞ 開放式辦公環境，小組討論空間、咖啡個人休憩區、每人配置自動升降桌|||＞ 表定工作時間，每日10：00-19:00，有彈性下上班規劃|||＞ 福委會貼心規劃下午茶、辦公室優惠零食販售、定期聚餐..等，隨時補充精力越戰越勇|||【瞭解我們更多..】|||linkedin企業頁面|||https://www.linkedin.com/company/%E6%97%AD%E7%91%9E%E6%96%87%E5%8C%96%E5%82%B3%E5%AA%92-%E6%B5%AAlive/about/?viewAsMember=true|||企業動態|||https://www.mirrormedia.mg/premium/20201008bus001/|||https://www.techbang.com/posts/90010-langlive-sponsors-hualien-chong-de-primary-school-football-team|||浪LIVE・浪LIFE・,軟體工程師,Sr. iOS Engineer（Senior＆Staff Level）,1.1m+ TWD Annually,swift|||objective-C,https://meet.jobs/zh-TW/jobs/39446-sr-ios-engineerseniorstaff-level
Oursky Limited, 是一家創立於香港的軟體公司，除了在香港、台北和倫敦設有固定辦公室，我們多元化的團隊成員在不同國家和地點遠端工作。我們以開發者和技術為中心、推崇職人精神，並致力推動社會進步。我們以開發開源軟體解決方案為己任，協助企業進行數位轉型，以及幫助開發者打造安全及重視隱私的軟體。我們的產品均是自籌經費研發，確保 Oursky 的工程師文化及素質能體現在每個項目上。|||Oursky 有濃厚的工程師文化，例如我們常常會嘗試最新的程式語言（雖然我們大部分的程式碼都是 Python 或 Go，但也會用 Haskell、Rust 或探索實驗其他新語言）、保持高水準的 Code Review，並採用精簡流程的內部工具如 DevOps 及 CI 相關的軟體。|||了解更多：|||------|||我們正在招募資深軟體工程師加入我們的團隊！Oursky 的資深軟體工程師都能在不同的軟體專案游刃有餘；並視能力晉升為 Tech Lead，負責指導其他團隊成員或成為你擅長領域裡的專才。|||我們的團隊主要使用以下的技術（你不需要掌握全部技術，但我們期望你能快速學習大部分技術）：|||我們的團隊在不同地點遠端工作，我們樂意為你提供在異地工作和生活的機會。 準備好展開人生新的一頁了嗎？ 我們透過贊助工作簽證等行動支持遠端工作和全球 relocation。想了解更多，來和我們聊聊吧！|||線上申請：,軟體工程師,Senior Software Engineer 資深軟體工程師,113k - 138k TWD Monthly,,https://meet.jobs/zh-TW/jobs/28378-senior-software-engineer-%E8%B3%87%E6%B7%B1%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%AB
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets is looking for a candidate who is interested in developing software tools, drivers, and firmware for its highspeed wireless millimeter wave network communications products.|||As an experienced S/W designer, you will be expected to have deep knowledge of and experience in one or more major specialty functions of one or more programming languages, OS device drivers, technical skills and working experience.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||· Developing application software/tools, drivers, and firmware for Tensorcom’s wireless networking products.|||The interested candidate shall have demonstrable experience in:|||· Programming Languages such as:|||o The C/C++ programming language|||o One or more of these programming languages: Python, Java, Perl, TCL, etc., which would be a plus|||· Developing device drivers for well-known OSes such as:|||o Windows 10/11|||o Android/Linux|||o macOS/iOS|||· These S/W knowledge/skill sets such as:|||o Multi-threaded/processing environments|||o Network OSI model architecture|||o Wireless communication protocols|||· These H/W knowledge/skill sets such as:|||o Familiarity with H/W system architectures|||o These interfaces: USB, PCIe, GPIO, JTAG, SPI, UART|||· Designing and implementing Application Software for product demonstrations|||· Developing diagnostic tools for factory verification plan|||· Previous working experience on WLAN SoC, Ethernet NIC, storage SoC are highly desirable.|||■ BS ■ MS|||Computer Science, Computer Engineering, Electrical Engineering, or similar applicable degrees|||5+ years",軟體工程師,"Software Development Engineer, 軟體開發工程師(驅動程式)",30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39447-software-development-engineer-%E8%BB%9F%E9%AB%94%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB%E9%A9%85%E5%8B%95%E7%A8%8B%E5%BC%8F
Tensorcom,"Tensorcom, a pioneer in developing innovative semiconductors for high-speed millimeter wave, ultra-low power, wireless communication chipsets is looking for a candidate who is interested in developing software tools, drivers, and firmware for its highspeed wireless millimeter wave network communications products.|||As an experienced S/W designer, you will be expected to have deep knowledge of and experience in one or more major specialty functions of one or more programming languages, OS device drivers, technical skills and working experience.|||In addition to excellent technical skills, good English communication skills are required.|||The interested candidate will be responsible for:|||· Developing application software/tools, drivers, and firmware for Tensorcom’s wireless networking products.|||The interested candidate shall have demonstrable experience in:|||· Programming Languages such as:|||o The C/C++ programming language|||o One or more of these programming languages: Python, Java, Perl, TCL, etc., which would be a plus|||· Developing device drivers for well-known OSes such as:|||o Windows 10/11|||o Android/Linux|||o macOS/iOS|||· These S/W knowledge/skill sets such as:|||o Multi-threaded/processing environments|||o Network OSI model architecture|||o Wireless communication protocols|||· These H/W knowledge/skill sets such as:|||o Familiarity with H/W system architectures|||o These interfaces: USB, PCIe, GPIO, JTAG, SPI, UART|||· Designing and implementing Application Software for product demonstrations|||· Developing diagnostic tools for factory verification plan|||· Previous working experience on WLAN SoC, Ethernet NIC, storage SoC are highly desirable.|||■ BS ■ MS|||Computer Science, Computer Engineering, Electrical Engineering, or similar applicable degrees|||5+ years",軟體工程師,Software Development Engineer,30k - 100k TWD Monthly,,https://meet.jobs/zh-TW/jobs/39453-software-development-engineer
Netskope Taiwan,"Netskope's API Protection Framework team is responsible for designing and implementing a scalable and elastic architecture to provide protection for enterprise SaaS and IaaS application data. This is achieved by ingesting high volume activity events at near real-time and analysing data to provide security risk management for our customers, including data security, access control, threat prevention, data loss prevention, user coaching and more.|||As a member of this team you will work in an innovative, fast-paced environment with other experts to build Cloud-Native solutions using technologies like Kubernetes, Helm, Prometheus, Grafana, Jaeger (open tracing), persistent messaging queues, SQL/NO-SQL databases, key-value stores, etc. You will solve complex scale problems, deploy and manage the solution in production. If you are driven by high-quality, high-velocity software delivery challenges, and using innovative and cutting edge solutions to achieve these goals, we would like to speak with you.",軟體工程師,"Staff Software Development Engineer in Test, API Protection Framework",1.8m+ TWD Annually,golang|||python|||automation testing|||automation test frameworks,https://meet.jobs/zh-TW/jobs/39070-staff-software-development-engineer-in-test-api-protection-framework
SWAG,"As a Senior Backend Engineer on the Application team, you will be working closely with the Product and Client teams to implement new features. With needing to support millions of requests per minute,performanceandstabilityare some of the top concerns in your design. You are able to design in increments and be able to prioritise feature requirements and optimizations. You aim for re-usability in the components with a KISS mentality.",軟體工程師,Senior Backend Engineer,2m - 2.5m TWD Annually,Python|||NodeJS|||Mongo|||Redis,https://meet.jobs/zh-TW/jobs/37483-senior-backend-engineer
統智科技股份有限公司,"
參與大型智慧零售、物流系統的後端設計、開發、維護工作。|||★職缺開啟原因：雲端團隊持續擴編中★|||【必要條件】|||- 對學習新知保持積極|||-具 3年以上後端開發經驗 - 熟 C#、.NET Core|||- 使用 Entity Framework／Dapper／其他相似工具|||- 使用 MSTest／NUnit／xUnit 任一種單元測試框架|||- 使用 版控（Git 優先）|||- 持續重構程式碼的習慣（Clean Code）|||【加分條件選項】|||- 串接 AWS、Azure、GCP 開發經驗 （公司欲推行「雲端服務平台」的教育訓練）|||- 系統架構、程式架構設計經驗／微服務開發經驗|||- Store Procedure 的開發、維護經驗",軟體工程師,【遠距面試優先】C#後端開發工程師,680k - 1.2m TWD Annually,c#.net|||asp.net,https://meet.jobs/zh-TW/jobs/29185-%E9%81%A0%E8%B7%9D%E9%9D%A2%E8%A9%A6%E5%84%AA%E5%85%88c%E5%BE%8C%E7%AB%AF%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
以恩資訊,"工作內容：|||1. 數理邏輯能力強，且資訊相關科系畢業或3年以上程式開發經驗。|||2. 熟悉C++, C#及Java(需有實務經驗)。|||3. 對程式設計有高度熱枕，可快速適應不同開發環境，熟悉大型軟體開發流程者尤佳。|||4. 具備創造性思考能力，能善用網路解決問題。|||5. 高配合度，適應團隊合作且抗壓性強，具有良好的溝通協調能力。",軟體工程師,"Senior Product Development Engineer | 資深產品研發工程師 (C++, C#, Java,)",110k+ TWD Monthly,C++|||C#|||JAVA|||軟體開發,https://meet.jobs/zh-TW/jobs/36928-senior-product-development-engineer-%E8%B3%87%E6%B7%B1%E7%94%A2%E5%93%81%E7%A0%94%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB-c-c-java
