company_name,jd,job_title,salary,skill_cata_tag,url
四零四科技股份有限公司,"
依部門設定之目標及需求, 妥善利用資源, 在指定時間內產出符合預期之硬體產品。|||擁有以下人格特質尤佳:|||- 人際溝通協調能力|||- 責任感|||- 嚴謹度|||- 執行力",硬體研發專案主任工程師 (ID: 2200BQ),1.1m+ TWD Annually,,https://meet.jobs/en/jobs/39097-%E7%A1%AC%E9%AB%94%E7%A0%94%E7%99%BC%E5%B0%88%E6%A1%88%E4%B8%BB%E4%BB%BB%E5%B7%A5%E7%A8%8B%E5%B8%AB-id-2200bq
Meet.Jobs,＊如具備多項加分條件，薪資可突破上限。,Frontend Engineer | 前端工程師,40k - 60k TWD Monthly,React.js|||Frontend|||Node.js|||Express|||Front,https://meet.jobs/en/jobs/39249-frontend-engineer-%E5%89%8D%E7%AB%AF%E5%B7%A5%E7%A8%8B%E5%B8%AB
以恩資訊,"1. 3年以上專案導入經驗|||2. 擔任PreSelling及產品導入工作|||3. 需與客戶、內部技研發單位溝通, 確保專案順利完成。|||4. 對客戶進行顧問式介紹產品, 協助客戶完善產品應用情境。|||5. 具備製造業生產管理、ERP、MES等相關軟體應用經驗",Project Manager (Smart Manufacturing product) | 智慧製造產品專案經理,120k+ TWD Monthly,專案管理|||產品介紹及解說銷售|||溝通能力|||企業資源規劃管理(ERP)|||MES|||Project Management,https://meet.jobs/en/jobs/36934-project-manager-smart-manufacturing-product-%E6%99%BA%E6%85%A7%E8%A3%BD%E9%80%A0%E7%94%A2%E5%93%81%E5%B0%88%E6%A1%88%E7%B6%93%E7%90%86
"North CO.,Ltd Taiwan","As a Human Resource Manager, you need to be thoughtful, meticulous, and have a thorough understanding of our team in order to ensure that the team can function properly.|||Don’t hesitate! Join our team and bring the department to the next level!|||HR Functions:|||Requirements",Human Resource Manager(Philippines),65k - 85k PHP Monthly,Microsoft Office,https://meet.jobs/en/jobs/39206-human-resource-managerphilippines
統智科技股份有限公司,"
參與大型智慧零售、物流系統的後端設計、開發、維護工作。|||★職缺開啟原因：雲端團隊持續擴編中★|||【必要條件】|||- 對學習新知保持積極|||-具 3年以上後端開發經驗 - 熟 C#、.NET Core|||- 使用 Entity Framework／Dapper／其他相似工具|||- 使用 MSTest／NUnit／xUnit 任一種單元測試框架|||- 使用 版控（Git 優先）|||- 持續重構程式碼的習慣（Clean Code）|||【加分條件選項】|||- 串接 AWS、Azure、GCP 開發經驗 （公司欲推行「雲端服務平台」的教育訓練）|||- 系統架構、程式架構設計經驗／微服務開發經驗|||- Store Procedure 的開發、維護經驗",【遠距面試優先】C#後端開發工程師,680k - 1.2m TWD Annually,c#.net|||asp.net,https://meet.jobs/en/jobs/29185-%E9%81%A0%E8%B7%9D%E9%9D%A2%E8%A9%A6%E5%84%AA%E5%85%88c%E5%BE%8C%E7%AB%AF%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
以恩資訊,"*工作地點可在台中、台北|||1. 5年以上專案導入經驗|||2. 擔任PreSelling及產品導入工作|||3. 需與客戶、內部技研發單位溝通, 確保專案順利完成。|||4. 對客戶進行顧問式介紹產品, 協助客戶完善產品應用情境。|||5. 具備資安軟體應用經驗",Project Manager(Information security product) | 資安產品專案經理,90k+ TWD Monthly,專案管理|||產品介紹及解說銷售|||溝通能力|||product management,https://meet.jobs/en/jobs/36933-project-managerinformation-security-product-%E8%B3%87%E5%AE%89%E7%94%A2%E5%93%81%E5%B0%88%E6%A1%88%E7%B6%93%E7%90%86
以恩資訊,工作內容：|||1. 熟悉Java(需有實務經驗)。|||2. 數理邏輯能力強，且資訊相關科系畢業或3年以上程式開發經驗。|||3. 製造業產線相關系統開發、ERP、API、資料庫相關經驗為佳。|||4. 對程式設計有高度熱枕，可快速適應不同開發環境，熟悉大型軟體開發流程者尤佳。|||5. 具備創造性思考能力，能善用網路解決問題。|||6. 高配合度，適應團隊合作且抗壓性強，具有良好的溝通協調能力。,Senior Product Development Engineer | 資深產品研發工程師 (Java),70k+ TWD Monthly,JAVA|||軟體開發,https://meet.jobs/en/jobs/36929-senior-product-development-engineer-%E8%B3%87%E6%B7%B1%E7%94%A2%E5%93%81%E7%A0%94%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB-java
Splashtop Inc.,"Splashtop is a SaaS company offering industry-leading remote access / support services, one-to-many video conferencing, and mobile mirroring apps.Our product range covers multiple platforms (Windows, macOS, iOS, Android) and is highly regarded in the IT and education community (see: www.splashtop.com and www.mirroring360.com, or look for Splashtop in App Store / Google Play).|||1. Perform outbound calls to potential customers trialing Splashtop services.|||2. Develop and maintain relations with potential customers.|||3. Encourage customers to buy Splashtop products by matching customer requirements with suitable Splashtop products and services.|||4. Advise prospective and current customers by answering questions and addressing their concerns about purchased products.|||5. Collect and track customer feedback and forward them to the right internal channels.|||6. Provide suggestions for product improvement.|||Foreign residents are welcomed.|||• Flexible working hours|||• Leave policies superior to statutory requirements. (First year 10 days paid annual leaves)|||• 1-day paid birthday leave|||• Height adjustable office workstations for employees|||• English course, workplace massage and refreshments are provided|||• Labor Insurance, national Health Insurance and group insurance|||• Annual health checkup|||• Travel allowance|||• Cash gift for employees’ birthday|||• Year-end banquet and Christmas party|||• Employee gathering lunch once per month|||• Employee club activity subsidy",Sales Development Representative,700k+ TWD Annually,business development,https://meet.jobs/en/jobs/28181-sales-development-representative
智鈦星平台服務有限公司,*負責公司Android APP開發及更新維護。|||1. 與開發團隊配合執行專案APP之開發、維護及後續優化。|||2. 依照專案規劃，共同討論並評估任務時程。|||3. 跨部門合作開發上所需項目。|||3. 其他主管交辦任務。|||1. 帶領、訓練同組內部同仁，並適當給予協助。|||2. 統合組內狀況、問題並反饋予相關需求方或單位。|||3. 與PM溝通討論，評估合理性及規劃專案時程。|||4. 達成主管給予團隊之目標。|||【需求條件】|||擅長工具：|||【加分條件】|||1. 3~5年以上網路科技公司開發經驗。|||2. 有平台軟體開發經驗或手遊開發經驗佳。|||【期望技術】|||1. 具備高度開發、調整、編碼優化能力。|||2. 熟多線程、SQLite數據庫與精通Android UI庫。|||3. 能暸解對象用戶設計原則。|||4. 擅長複雜UI之性能優化。|||5. 暸解Android下網路通信機制，對Scoket、TCP/IP、http/https及Json/XML具一定程度。,【Android 開發工程師/組長】 Android Developer Junior/Senior,700k - 1.4m TWD Annually,SQLite|||Scoket|||TCP/IP|||Android UI|||Json|||XML,https://meet.jobs/en/jobs/27064-android-%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB%E7%B5%84%E9%95%B7-android-developer-juniorsenior
Oursky Limited,We’re hiring a |||for the two products:|||and|||. Read more about the products and Oursky at|||.|||We’re looking for Customer Success to delight our customers with their product expertise and in-depth understanding of customers’ business requirements.|||Join us if you are passionate about technology and enjoy talking with people!,Customer Success,54k - 78k TWD Monthly,presentation and communication skills|||fluent english|||relationship management,https://meet.jobs/en/jobs/36489-customer-success
