company_name,jd,job_tag,job_title,salary,skill_cata_tag,url
中嘉數位股份有限公司,1.內部系統開發實作，與前端設計師合作切版開發；|||2.與需求端溝通整合，快速回應以維持方向一致。|||【必需技能】|||1.熟悉 PHP、Laravel框架、API概念；|||2.熟悉SQL語法(MySQL、SQL server)；|||3.熟悉LNMP、LAMP架設(centos、ubuntu)。|||【其他條件】|||1.基礎網頁語法、JavaScript、JQuery、AJAX|||語文條件英文(聽:中等、說:中等、讀:中等、寫:中等)|||擅長工具|||Linux|||AJAX|||PHP|||Python|||MySQL|||JavaScript|||jQuery|||其他條件工作技能：系統設計、程式設計。,軟體工程師,資訊處  軟體開發工程師,40k - 130k TWD Monthly,PHP|||MySQL|||JavaScript|||JQuery,https://meet.jobs/zh-TW/jobs/38837-%E8%B3%87%E8%A8%8A%E8%99%95-%E8%BB%9F%E9%AB%94%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
Splashtop Inc.,"You will be accountable for evaluating modern web technologies to renovate existing appearance, introduce new methodology and iteratively improve user experience on our management portal. Moreover, You will direct the team to face challenges and break through engineering barriers in collaboration with designers, engineers, product owners and other partners.|||It's an onsite job for Taiwan citizens and those who have legal residency status.|||Non-Taiwan citizen candidates must possess a valid Alien Residence Certificate (ARC) issued by Taiwan authority.|||Currently, Splashtop does not sponsor work visa/permit.",軟體工程師,Lead Frontend Engineer,1.57m+ TWD Annually,javascript|||html|||html5|||css|||reactJs|||software engineer|||web programming,https://meet.jobs/zh-TW/jobs/28520-lead-frontend-engineer
Oursky Limited, 是一家創立於香港的軟體公司，除了在香港、台北和倫敦設有固定辦公室，我們多元化的團隊成員在不同國家和地點遠端工作。我們以開發者和技術為中心、推崇職人精神，並致力推動社會進步。我們以開發開源軟體解決方案為己任，協助企業進行數位轉型，以及幫助開發者打造安全及重視隱私的軟體。我們的產品均是自籌經費研發，確保 Oursky 的工程師文化及素質能體現在每個項目上。|||Oursky 有濃厚的工程師文化，例如我們常常會嘗試最新的程式語言（雖然我們大部分的程式碼都是 Python 或 Go，但也會用 Haskell、Rust 或探索實驗其他新語言）、保持高水準的 Code Review，並採用精簡流程的內部工具如 DevOps 及 CI 相關的軟體。|||了解更多：|||-|||我們正在招募軟體工程師加入團隊！你將會獲得資深工程師的指導，同時和一群頂尖的工程師一起工作！|||我們的團隊主要使用以下的技術（你不需要掌握全部技術，但我們期望你能快速學習大部分技術）：,軟體工程師,Web / Mobile App Developer 軟體工程師,75.5k - 100.5k TWD Monthly,,https://meet.jobs/zh-TW/jobs/28377-web-mobile-app-developer-%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%AB
Oursky Limited, 是一家創立於香港的軟體公司，除了在香港、台北和倫敦設有固定辦公室，我們多元化的團隊成員在不同國家和地點遠端工作。我們以開發者和技術為中心、推崇職人精神，並致力推動社會進步。我們以開發開源軟體解決方案為己任，協助企業進行數位轉型，以及幫助開發者打造安全及重視隱私的軟體。我們的產品均是自籌經費研發，確保 Oursky 的工程師文化及素質能體現在每個項目上。|||Oursky 有濃厚的工程師文化，例如我們常常會嘗試最新的程式語言（雖然我們大部分的程式碼都是 Python 或 Go，但也會用 Haskell、Rust 或探索實驗其他新語言）、保持高水準的 Code Review，並採用精簡流程的內部工具如 DevOps 及 CI 相關的軟體。|||了解更多：|||------|||我們正在招募資深軟體工程師加入我們的團隊！Oursky 的資深軟體工程師都能在不同的軟體專案游刃有餘；並視能力晉升為 Tech Lead，負責指導其他團隊成員或成為你擅長領域裡的專才。|||我們的團隊主要使用以下的技術（你不需要掌握全部技術，但我們期望你能快速學習大部分技術）：|||我們的團隊在不同地點遠端工作，我們樂意為你提供在異地工作和生活的機會。 準備好展開人生新的一頁了嗎？ 我們透過贊助工作簽證等行動支持遠端工作和全球 relocation。想了解更多，來和我們聊聊吧！|||線上申請：,軟體工程師,Senior Software Engineer 資深軟體工程師,113k - 138k TWD Monthly,,https://meet.jobs/zh-TW/jobs/28378-senior-software-engineer-%E8%B3%87%E6%B7%B1%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%AB
均一平台教育基金會,,軟體工程師,資深軟體工程師,70k+ TWD Monthly,docker|||Git|||CI/CD|||frameworks|||javascript/html/css|||python3,https://meet.jobs/zh-TW/jobs/34135-%E8%B3%87%E6%B7%B1%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%AB
遊戲PHP開發工程師,,軟體工程師,GM,80k - 180k TWD Monthly,PHP|||MySQL,https://meet.jobs/zh-TW/jobs/36922-gm-%E9%81%8A%E6%88%B2php%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB
Canonical,"Canonical's OEM Delivery Team works with OEM and ODM customers to pre-load Ubuntu Classic, Ubuntu Core, and bring Ubuntu directly to millions of users.As a Software Engineer, you will be responsible for technical aspects of ensuring that Ubuntu functions well on systems. This fast-paced environment requires strong debugging, critical thinking and problem-solving skills, and deep knowledge of the Linux system.|||We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products.|||.|||Please submit your application to https://grnh.se/aec5b1441us",軟體工程師,Ubuntu Desktop Enablement Engineer,1.6m+ TWD Annually,Linux|||Git|||Python|||C|||C++,https://meet.jobs/zh-TW/jobs/30852-ubuntu-desktop-enablement-engineer
Canonical,"Canonical's OEM Delivery Team works with tier-one OEM, IHV, and ODM customers to pre-load Ubuntu Classic, Ubuntu Core, and bring Ubuntu directly to millions of users. You will have the opportunity to enable cutting edge technology with world leading partners, and become the first contributor to the innovation.|||As a Software Engineer, you will be responsible for technical aspects of ensuring that Ubuntu functions well on systems. This fast-paced environment requires strong debugging, critical thinking and problem-solving skills, and deep knowledge of the Linux system. You will cooperate with the best developers in the open source communities to deliver the best user experience.|||Canonical believes a diverse workforce enhances our ability to deliver world class software and services which meet the world’s computing needs. We are committed to ensuring equal employment opportunities to all qualified individuals. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.|||Please submit your application to https://grnh.se/2c7dfe421us",軟體工程師,"Software Engineer, Ubuntu Commercial Computers",1.2m+ TWD Annually,linux|||python3,https://meet.jobs/zh-TW/jobs/34265-software-engineer-ubuntu-commercial-computers
Backend Engineer (.NET/Java),"Responsibilities:|||1. Develop and design backend service systems for business related purpose|||2. Capable of working independently on projects by analyzing, designing, developing and maintaining the systems|||3. Manage individual project priorities, deadlines and deliverables|||Qualification:|||1. 2+ year backend experience in the enterprise application service.|||2. A solid foundation of either one of the backend framework: .Net framework、.Net Core、Java/Spring. Capable of using the framework to write high quality code.|||3. Experience with data modeling and system design for e-commerce or financial scenarios are preferred.|||4. Being comfortable operating in dynamic environments, self-directed, approachable and a great team player",軟體工程師,Backend Engineer (.NET/Java),800k+ TWD Annually,C#.NET|||.NET CORE|||java,https://meet.jobs/zh-TW/jobs/39281-backend-engineer-netjava%E5%BE%8C%E7%AB%AF%E5%B7%A5%E7%A8%8B%E5%B8%AB
智鈦星平台服務有限公司,***負責Java後端開發、更新維護及優化***|||【工作說明】|||1. 依照內部需求參與開發專案，並與團隊共同達成開發時程及目標。|||2. 協同系統平台之架構設計、編程並撰寫相關技術文檔。|||3. 與相關單位合作對接，並對現有伺服器架構進行優化。|||【期望技術】|||1. 具3年以上 Java 後端程式開發經驗。|||2. 熟悉JVM、WEB開發及分布式事務處理、分布式文件及緩存等技術原理。|||3. 對主流開源框架有使用經驗，如Spring、SpringMVC、SpringBoot、Dubbo、Kafka、zookeeper..等|||4. 對開源構架有一定研究者優先。,軟體工程師,【Java 後端軟體工程師】Java Backend Engineer,700k - 1.4m TWD Annually,java|||spring,https://meet.jobs/zh-TW/jobs/36936-java-%E5%BE%8C%E7%AB%AF%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%ABjava-backend-engineer
