company_name,jd,job_tag,job_title,salary,skill_cata_tag,url
客戶關係助理,,顧問,NR,28k - 45k TWD Monthly,word|||excel,https://meet.jobs/zh-TW/jobs/36924-nr-%E5%AE%A2%E6%88%B6%E9%97%9C%E4%BF%82%E5%8A%A9%E7%90%86
會計師,,顧問,NR,100k - 120k TWD Monthly,word|||excel|||CPA,https://meet.jobs/zh-TW/jobs/36926-nr-%E6%9C%83%E8%A8%88%E5%B8%AB
スマカン株式会社,1、開拓新的IT企業客戶，同步進行現有客戶的連繫維護(新進人員一律負責既有客戶)|||2、向客戶進行提案作業，將公司的軟體工程師推薦到客戶公司端|||3、定期進行駐廠軟體工程師的關懷作業|||4、錄取後依照經驗及能力決定待遇（此薪資範圍已|||）|||5、社內目前共有營業20位，包含日本籍、台灣籍、中國籍及越南籍同仁，社內共用語言為|||，報到後會提供工作上的指導及訓練。|||※面試確認錄取之後，公司協助申辦|||①應徵前請務必，點閱|||更一步了解敝司|||②透過平台提供日文履歷表及職務經歷表（亦可面談後再補）|||③本社在東京，因此由專員連繫採視訊方式面試。|||◆|||◆|||應徵＞書類審查（日文履歷表＋職務經歷書＞專人聯絡＞填寫日文履歷書＞安排視訊面談共兩次＞日文＋中文視訊面談＞1-2週內合格通知＞確認薪資＞進行簽證申請＞確認赴日時間,顧問,【日本東京】SES營業人員,3.5m - 7m JPY Annually,,https://meet.jobs/zh-TW/jobs/37116-%E6%97%A5%E6%9C%AC%E6%9D%B1%E4%BA%ACses%E7%87%9F%E6%A5%AD%E4%BA%BA%E5%93%A1
德安資訊股份有限公司,※後台ERP系統應用範圍：財會、人事、進銷存、固定資產等※|||1. 線上協助客戶財務、人事、進銷存等ERP系統使用與問題排除。|||2. 一般產品售後服務與產品使用教學。|||3. 客戶端程式版本更新。|||4. 客戶叫修工單撰寫及整理等行政事務。|||其他條件|||1.邏輯能力佳、個性親切、有耐心、主動積極、抗壓性高。|||2.具基礎會計專業知識。|||3.具備財會、人事系統使用經驗者尤佳。|||4.具備四星級以上飯店後勤管理單位職務尤佳。|||※入職後通過各大模組訓練與檢測合格者，次月調薪※|||※歡迎有志從專業客服挑戰系統顧問發展的您加入※,顧問,後台系統資訊客服,35k - 45k TWD Monthly,希望有初級會計的基礎|||erp,https://meet.jobs/zh-TW/jobs/39260-%E5%BE%8C%E5%8F%B0%E7%B3%BB%E7%B5%B1%E8%B3%87%E8%A8%8A%E5%AE%A2%E6%9C%8D
德安資訊股份有限公司,※後台ERP系統應用範圍：財會、人事、進銷存、固定資產等※|||1. 線上協助客戶財務、人事、進銷存等ERP系統使用與問題排除。|||2. 一般產品售後服務與產品使用教學。|||3. 客戶端程式版本更新。|||4. 客戶叫修工單撰寫及整理等行政事務。|||其他條件|||1.邏輯能力佳、個性親切、有耐心、主動積極、抗壓性高。|||2.具基礎會計專業知識。|||3.具備財會、人事系統使用經驗者尤佳。|||4.具備四星級以上飯店後勤管理單位職務尤佳。|||※入職後通過各大模組訓練與檢測合格者，次月調薪※|||※歡迎有志從專業客服挑戰系統顧問發展的您加入※,顧問,後台系統資訊客服,35k - 45k TWD Monthly,希望有初級會計的基礎|||erp,https://meet.jobs/zh-TW/jobs/39372-%E5%BE%8C%E5%8F%B0%E7%B3%BB%E7%B5%B1%E8%B3%87%E8%A8%8A%E5%AE%A2%E6%9C%8D
國際組(韓) Customer Consultant (KR),"!!!在工作中需能熟練使用韓文。(面談時語言測驗)|||╔══════════════════特 點══════════════════════╗|||※無經驗可，需積極配合金融專業知識培訓。|||※完整且專業的國際金融相關培訓、透明的升遷制度。|||※優於業界的服務考核獎金及績效獎金，無需加班或陌生開發。|||※排班休假彈性，視當月假日天數而定，可適當自行安排。|||╚═══════════════════════════════════════════╝|||****工作說明****|||1. 透過電話聯繫金融外商平台用戶，提高用戶使用平台之意願，並以即時文字維護顧客關係。|||2. 關心平台用戶使用狀況，加強對於平台品牌忠誠度。|||3. 主動說明平台優惠訊息及參加辦法，增加用戶的平台使用頻率。|||《《專業知識及技能培訓》》|||--前3個月在職訓練--|||國際金融專業、口條及推廣技巧、平台系統相關操作|||培訓激勵金首月2000、次月3000、末月5000(需出勤正常+評測合格)|||培訓期間上班時間固定為09:00-18:00。|||《《上線服務》 》|||正式上線後平均本薪+工作獎金48,000~65,000",顧問,₍ᐢ ̥ ̞ ̥ᐢ₎【在職訓練】平台用戶顧問,40k - 65k TWD Annually,,https://meet.jobs/zh-TW/jobs/39272-%E1%90%A2-%E1%90%A2%E5%9C%A8%E8%81%B7%E8%A8%93%E7%B7%B4%E5%B9%B3%E5%8F%B0%E7%94%A8%E6%88%B6%E9%A1%A7%E5%95%8F-%E5%9C%8B%E9%9A%9B%E7%B5%84%E9%9F%93-customer-consultant-kr
國際組(韓) Customer Service (KR),"!!在工作中需能熟練使用韓文。(面談時語言測驗)|||╔══════════════════特 點══════════════════════╗|||※無經驗可，需積極配合金融專業知識培訓。|||※完整且專業的國際金融相關培訓、透明的升遷制度。|||※優於業界的服務考核獎金及績效獎金，無需加班。|||※排班休假彈性，視當月假日天數而定，可適當自行安排。|||╚═══════════════════════════════════════════╝|||***工作說明***|||1. 服務外商平台用戶並關心用戶使用狀況，協助用戶更好的使用平台，加強品牌忠誠度。|||2. 說明推薦平台優惠活動及參加辦法，以增加用戶在平台之使用頻率。|||3. 充份回應用戶諮詢問題，以良好對話為基礎維護顧客關係。|||《《專業知識及技能培訓》》|||--前3個月在職訓練--|||國際金融專業、服務及對談技巧、平台系統相關操作|||培訓激勵金首月2000、次月3000、末月5000(需出勤正常+評測合格)|||培訓期間上班時間固定為09:00-18:00。|||《《上線服務》 》|||正式上線後平均本薪+工作獎金45,000~58,000",顧問,₍ᐢ ̥ ̞ ̥ᐢ₎【在職訓練】用戶服務管理,45k - 58k TWD Annually,,https://meet.jobs/zh-TW/jobs/39273-%E1%90%A2-%E1%90%A2%E5%9C%A8%E8%81%B7%E8%A8%93%E7%B7%B4%E7%94%A8%E6%88%B6%E6%9C%8D%E5%8B%99%E7%AE%A1%E7%90%86-%E5%9C%8B%E9%9A%9B%E7%B5%84%E9%9F%93-customer-service-kr
Dr.Right,薪資會依學經歷背景及相關工作經驗核薪,顧問,公關長特助 Executive Assistant,450k - 700k TWD Annually,Account Management|||administrative|||public relations,https://meet.jobs/zh-TW/jobs/32512-%E5%85%AC%E9%97%9C%E9%95%B7%E7%89%B9%E5%8A%A9-executive-assistant
Dr.Right,化身為醫療院所業主的客服顧問，協助做好醫病關係維繫。不同於一般的傳統客服，Dr.Right 走的是高端醫療客服公關，做為院長與患者間的溝通橋樑。|||薪資會依學經歷背景及相關工作經驗核薪,顧問,醫療客服專案管理師 (諮商師),550k - 900k TWD Annually,Account Management,https://meet.jobs/zh-TW/jobs/32519-%E9%86%AB%E7%99%82%E5%AE%A2%E6%9C%8D%E5%B0%88%E6%A1%88%E7%AE%A1%E7%90%86%E5%B8%AB-%E8%AB%AE%E5%95%86%E5%B8%AB
MyStartr Sdn Bhd,"Job Requirements:|||- Bachelor’s or master’s degree in computer science or related field.|||- Minimum 5 years in SAS programming. Financial industry experience is a plus|||- Able to work PC, Oracle, Informix and Unix data structures|||- Able to troubleshoot and solve complex technical issues|||- Highly analytical with excellent written and verbal communication skills|||- Excellent time management skills with the ability to work under pressure to meet tight|||- Need to work located in Malaysia, no remote work.|||Job Responsibilities:|||• Develop a well-designed web system to meet business operation requirement|||• Develop application code and modules for business and technical requirements|||• Maintains computer systems and programming guidelines by writing and updating policies and procedures|||• Resolve and troubleshoot problems and complex issues|||• Perform unit tests and fix bugs|||• Identify the cyber risk and implement the cyber security measurement which comply with the regulation|||• Integrate best qualitative practices in design and development aspects of programs",行政總務,Programmer  (驻马),3k - 5k MYR Monthly,,https://meet.jobs/zh-TW/jobs/37141-programmer-%E9%A9%BB%E9%A9%AC
MyStartr Sdn Bhd,工作内容：|||- 对接项目投资人|||- 发布投资内容 / 消息|||- 策划投资人活动 / 交流会|||- 组织社区外展计划并协调宣传公司产品、服务或理念的特别活动|||- 起草和分发各种通讯，特别是通过社交媒体，向投资者社区和公众推广股权众筹|||- 参加相关的活动和活动，与主要社区成员建立牢固的关系|||- 回应社区成员和其他相关方的询问|||- 计划、协调和执行公共新闻发布会，必要时与第三方公关机构合作|||要求|||- 至少两年公共关系或相关领域的工作经验|||- 优秀的口头和书面沟通技巧|||- 良好的人际交往能力和作为团队一员的工作能力|||- 能够在压力下很好地工作，并以机智、善良和专业精神管理敏感或有争议的话题|||- 公共关系、传播、英语、筹款、新闻或类似专业的学士学位|||- 广告、工商管理、公共事务、公开演讲以及创意和技术写作课程也很有帮助|||- 精通微软办公套件或相关的写作和演示软件,行政總務,股权众筹投资人俱乐部负责人  (驻马),3k - 5k MYR Monthly,,https://meet.jobs/zh-TW/jobs/36800-%E8%82%A1%E6%9D%83%E4%BC%97%E7%AD%B9%E6%8A%95%E8%B5%84%E4%BA%BA%E4%BF%B1%E4%B9%90%E9%83%A8%E8%B4%9F%E8%B4%A3%E4%BA%BA-%E9%A9%BB%E9%A9%AC
TITANSOFT 新加坡商鈦坦科技股份有限公司,．內部活動企劃發想與執行|||．會議召集、時程安排、會議記錄，並追蹤處理決議事項|||．負責部門事務作業，處理庶務性行政工作|||．中英文流利 ．有熱情、活力、細心，具備良好溝通能力與人際交往能力|||．協助主管交辦事項 ．員工關懷|||*此職務需具備高度抗壓性,行政總務,【採線上面談】Executive Assistant 行政助理,35k+ TWD Monthly,Microsoft Excel|||Microsoft PowerPoint|||TOEIC,https://meet.jobs/zh-TW/jobs/39242-%E6%8E%A1%E7%B7%9A%E4%B8%8A%E9%9D%A2%E8%AB%87executive-assistant-%E8%A1%8C%E6%94%BF%E5%8A%A9%E7%90%86
スマカン株式会社,"1.私人助理工作事務( 整理文件資料、做筆記、行程提醒、上網收集資料、辦公室整理、相關文件分類、歸檔...)|||2.個人行程安排(出差時飯店、機票的預定、安排車子接送...)|||3.社長的各種經費精算,以及處理其他申請|||4.來日工作人員簽證申請・入住公司宿舍手續及其他相關手續處理|||5.社長交辦的其他事務|||①應徵前請務必，點閱|||更一步了解敝司|||②透過平台提供日文履歷表及職務經歷表（亦可面談後再補）|||③本社在東京，因此由專員連繫採視訊方式面試。|||◆|||◆|||應徵＞書類審查（日文履歷表＋職務經歷書＞專人聯絡＞填寫日文履歷書＞安排視訊面談共兩次＞日文＋中文視訊面談＞1-2週內合格通知＞確認薪資＞進行簽證申請＞確認赴日時間",行政總務,【日本東京】社長助理,3m - 5m JPY Annually,,https://meet.jobs/zh-TW/jobs/37115-%E6%97%A5%E6%9C%AC%E6%9D%B1%E4%BA%AC%E7%A4%BE%E9%95%B7%E5%8A%A9%E7%90%86
